迭代,层级,外部ID,父级外部ID,标题,优先级,预估工时(h),负责人模板,验收标准
第1期,EPIC,E1,,核心业务主链路MVP,P0,8,PM,主流程可端到端跑通
第1期,STORY,S1.1,E1,业务对象建模与API契约,P0,6,PM,接口定义冻结并评审通过
第1期,TASK,T1.1.1,S1.1,梳理核心业务对象字段与状态,P0,8,BE1,输出模型草案并评审通过
第1期,TASK,T1.1.2,S1.1,定义OpenAPI契约与错误码,P0,10,BE1,接口文档可用于前后端联调
第1期,TASK,T1.1.3,S1.1,创建首版数据库迁移脚本,P0,8,BE1,迁移脚本在测试环境可执行
第1期,STORY,S1.2,E1,主流程前后端联调,P0,6,PM,核心流程前端可完成提交与查询
第1期,TASK,T1.2.1,S1.2,实现创建与编辑页面,P0,12,FE1,页面可提交并展示校验错误
第1期,TASK,T1.2.2,S1.2,实现列表与详情页面,P0,12,FE1,列表分页与详情展示可用
第1期,TASK,T1.2.3,S1.2,完成联调与冒烟测试,P0,8,QA1,主路径冒烟通过率100%
第2期,EPIC,E2,,权限体系与组织隔离,P0,8,PM,权限与数据隔离上线可验证
第2期,STORY,S2.1,E2,RBAC角色权限模型落地,P0,6,PM,至少3类角色可配置可生效
第2期,TASK,T2.1.1,S2.1,设计角色-权限矩阵,P0,8,BE1,权限矩阵评审通过
第2期,TASK,T2.1.2,S2.1,后端接入统一鉴权中间层,P0,12,BE1,关键接口全部接入鉴权
第2期,TASK,T2.1.3,S2.1,前端按权限控制菜单与按钮,P0,10,FE1,无权限功能不可见不可点
第2期,STORY,S2.2,E2,组织级数据隔离与越权防护,P0,6,PM,跨组织访问被拦截
第2期,TASK,T2.2.1,S2.2,数据模型增加组织维度字段,P0,8,BE1,组织字段写入与查询正确
第2期,TASK,T2.2.2,S2.2,接口增加租户过滤策略,P0,12,BE1,跨组织数据返回为空或403
第2期,TASK,T2.2.3,S2.2,编写越权测试用例并回归,P0,10,QA1,越权测试通过率100%
第3期,EPIC,E3,,数据质量与审计合规,P0,8,PM,关键操作可追踪可回滚
第3期,STORY,S3.1,E3,状态机与数据一致性治理,P0,6,PM,非法状态流转被阻断
第3期,TASK,T3.1.1,S3.1,定义状态机与流转规则,P0,8,BE1,状态流转图评审通过
第3期,TASK,T3.1.2,S3.1,实现幂等与重复提交保护,P0,10,BE1,重复请求不产生脏数据
第3期,TASK,T3.1.3,S3.1,补充数据校验与异常处理,P0,8,BE1,关键校验覆盖主流程
第3期,STORY,S3.2,E3,审计日志与迁移回滚策略,P0,6,PM,审计记录可按人按时间检索
第3期,TASK,T3.2.1,S3.2,实现操作审计日志落库,P0,10,BE1,增删改查操作均留痕
第3期,TASK,T3.2.2,S3.2,完善Alembic迁移与回滚预案,P0,10,BE1,迁移与回滚演练成功
第3期,TASK,T3.2.3,S3.2,执行全量回归与缺陷修复,P0,10,QA1,高优缺陷清零
第4期,EPIC,E4,,通知中心与运营后台增强,P1,8,PM,灰度环境可稳定运行
第4期,STORY,S4.1,E4,通知中心建设站内信+邮件,P1,6,PM,关键节点通知触达率达标
第4期,TASK,T4.1.1,S4.1,抽象通知事件与模板机制,P1,8,BE1,新增事件无需改主流程代码
第4期,TASK,T4.1.2,S4.1,接入站内信与邮件发送通道,P1,12,BE1,双通道发送可配置
第4期,TASK,T4.1.3,S4.1,前端通知中心页面与已读逻辑,P1,10,FE1,用户可查看并标记已读
第4期,STORY,S4.2,E4,运营后台可配置可纠错,P1,6,PM,运营可独立完成日常操作
第4期,TASK,T4.2.1,S4.2,实现运营配置与字典管理页面,P1,10,FE1,关键配置可视化管理
第4期,TASK,T4.2.2,S4.2,实现审核与手工纠错接口,P1,10,BE1,纠错留痕且可追溯
第4期,TASK,T4.2.3,S4.2,灰度发布与回滚演练,P1,8,DEVOPS,演练记录完整且通过
第5期,EPIC,E5,,数据看板与经营分析闭环,P1,8,PM,周会可基于数据决策
第5期,STORY,S5.1,E5,埋点方案与指标口径统一,P1,6,PM,北极星与漏斗指标定义完成
第5期,TASK,T5.1.1,S5.1,制定埋点字典与事件命名规范,P1,8,DA,埋点字典评审通过
第5期,TASK,T5.1.2,S5.1,前后端埋点接入关键路径,P1,10,FE1,关键路径埋点覆盖率>=90%
第5期,TASK,T5.1.3,S5.1,建立指标口径文档与校验脚本,P1,8,DA,口径一致性校验通过
第5期,STORY,S5.2,E5,管理看板与异常监控,P1,6,PM,看板上线并支持筛选导出
第5期,TASK,T5.2.1,S5.2,实现转化漏斗与趋势图接口,P1,10,BE1,接口性能满足看板需求
第5期,TASK,T5.2.2,S5.2,实现前端看板页与筛选器,P1,10,FE1,看板可按时间组织筛选
第5期,TASK,T5.2.3,S5.2,配置异常阈值与告警规则,P1,8,DEVOPS,异常可自动告警到群
第6期,EPIC,E6,,上线加固与性能安全优化,P0,8,PM,达到正式上线门槛
第6期,STORY,S6.1,E6,性能压测与稳定性优化,P0,6,PM,P95响应与错误率达标
第6期,TASK,T6.1.1,S6.1,设计压测场景与容量模型,P0,8,BE1,压测场景覆盖核心接口
第6期,TASK,T6.1.2,S6.1,执行压测并定位性能瓶颈,P0,12,BE1,瓶颈清单与优化方案产出
第6期,TASK,T6.1.3,S6.1,完成缓存与索引优化落地,P0,10,BE1,核心接口性能提升达标
第6期,STORY,S6.2,E6,安全基线与发布Runbook,P0,6,PM,发布可标准化可应急
第6期,TASK,T6.2.1,S6.2,完成安全扫描与高危修复,P0,10,BE1,高危漏洞清零
第6期,TASK,T6.2.2,S6.2,编制发布SOP与回滚Runbook,P0,8,DEVOPS,文档演练通过
第6期,TASK,T6.2.3,S6.2,上线彩排与Go-Live检查清单,P0,8,QA1,上线检查项100%完成
